"state1_name","state2_name","state1_fips","state2_fips","distance_km","state_comb","n","mig_5yago","mig_current","in_median_age10","in_median_hh_inc10","in_median_inc_m10","in_median_inc_f10","in_mean_wkhr10","in_tot_civilian_labor10","in_pct_employed10","in_pct_unemploy10","in_female_labor10","in_female_employed10","in_tot_pop_wt10","in_pct_male10","in_pct_age_0_17_10","in_pct_age_above65_10","in_pct_hispanic10","in_pct_white10","in_pct_black10","in_pct_asian10","in_median_age15","in_median_hh_inc15","in_median_hh_inc_black15","in_median_hh_inc_asian15","in_median_hh_inc_white15","in_median_hh_inc_hisp15","in_median_inc_m15","in_median_inc_f15","in_mean_wkhr15","in_tot_civilian_labor15","in_pct_employed15","in_pct_unemploy15","in_female_labor15","in_female_employed15","in_tot_pop_wt15","in_pct_male15","in_pct_age_0_17_15","in_pct_age_above65_15","in_pct_hispanic15","in_pct_white15","in_pct_black15","in_pct_asian15","out_median_age10","out_median_hh_inc10","out_median_inc_m10","out_median_inc_f10","out_mean_wkhr10","statefip","out_tot_civilian_labor10","out_pct_employed10","out_pct_unemploy10","out_female_labor10","out_female_employed10","out_tot_pop_wt10","out_pct_male10","out_pct_age_0_17_10","out_pct_age_above65_10","out_pct_hispanic10","out_pct_white10","out_pct_black10","out_pct_asian10","out_median_age15","out_median_hh_inc15","out_median_hh_inc_black15","out_median_hh_inc_asian15","out_median_hh_inc_white15","out_median_hh_inc_hisp15","out_median_inc_m15","out_median_inc_f15","out_mean_wkhr15","out_tot_civilian_labor15","out_pct_employed15","out_pct_unemploy15","out_female_labor15","out_female_employed15","out_tot_pop_wt15","out_pct_male15","out_pct_age_0_17_15","out_pct_age_above65_15","out_pct_hispanic15","out_pct_white15","out_pct_black15","out_pct_asian15"
"California","Virginia",6,51,3567.03051757812,651,36,"California","Virginia",37.5,60674,40326,27072,39.1,4141905,59.7,5.1,61.3,56.8,8024617,49.1,76.9,12.2,7.9,69.5,19.6,5.5,37.8,66262,44480,92071,71403,62913,41421,30119,39.1,4317898,60.7,3.5,60.7,57.3,8382993,49.2,73.4,51.3,9,68.2,19.2,6.3,35.2,57708,33624,25795,37.8,6,18625515,55.7,8.2,57.9,50.7,37349363,49.7,75.1,11.4,37.7,62.4,6,13.1,36.2,64500,45217,83385,75933,49682,36556,27038,38,19463807,58.1,4.6,56.8,52.5,39144818,49.7,72.5,50.8,38.8,60.9,5.8,14.2
"California","Illinois",6,17,2637.08618164062,617,30,"California","Illinois",36.6,52972,36240,25004,37.9,6674563,58.6,7.6,61,54.6,12843166,49,75.7,12.6,15.9,72.5,14.5,4.6,37.7,59588,33950,80076,66237,49122,40856,27150,38.4,6657355,60.5,4.5,60.1,56,12859995,49.1,72.9,51.5,16.9,71.8,14.3,5.2,35.2,57708,33624,25795,37.8,6,18625515,55.7,8.2,57.9,50.7,37349363,49.7,75.1,11.4,37.7,62.4,6,13.1,36.2,64500,45217,83385,75933,49682,36556,27038,38,19463807,58.1,4.6,56.8,52.5,39144818,49.7,72.5,50.8,38.8,60.9,5.8,14.2
"California","Texas",6,48,1954.66528320312,648,88,"California","Texas",33.6,48615,31550,22266,39.6,12363612,58.9,5.7,58.5,53.4,25257114,49.6,72.7,10.4,37.7,74.1,11.8,3.8,34.4,55653,40812,78121,68654,43345,36598,25264,40.2,13437133,60.3,3.5,57.4,54.1,27469114,49.6,69.4,50.9,38.9,74.9,12,4.5,35.2,57708,33624,25795,37.8,6,18625515,55.7,8.2,57.9,50.7,37349363,49.7,75.1,11.4,37.7,62.4,6,13.1,36.2,64500,45217,83385,75933,49682,36556,27038,38,19463807,58.1,4.6,56.8,52.5,39144818,49.7,72.5,50.8,38.8,60.9,5.8,14.2
"California","Louisiana",6,22,2616.68212890625,622,6,"California","Louisiana",35.9,42505,34495,21107,39.9,2187678,55.4,6.2,57.3,52,4544228,49,75.4,12.3,4.3,62.8,32,1.6,36.4,45727,27537,58847,56661,41476,37630,23460,39.8,2193370,55.4,4.2,55.6,52,4670724,48.9,72,51.9,4.9,62.4,32.2,1.7,35.2,57708,33624,25795,37.8,6,18625515,55.7,8.2,57.9,50.7,37349363,49.7,75.1,11.4,37.7,62.4,6,13.1,36.2,64500,45217,83385,75933,49682,36556,27038,38,19463807,58.1,4.6,56.8,52.5,39144818,49.7,72.5,50.8,38.8,60.9,5.8,14.2
"California","Florida",6,12,3562.08276367188,612,8,"California","Florida",40.7,44409,29480,23165,38.3,9203585,52,8,56,49,18843326,48.9,78.8,17.4,22.6,76.5,15.9,2.4,41.8,49426,35936,62794,54626,41776,31441,25382,38.7,9668285,54,4.1,54,50.3,20271272,48.8,76,51.7,24.5,75.8,16.2,2.7,35.2,57708,33624,25795,37.8,6,18625515,55.7,8.2,57.9,50.7,37349363,49.7,75.1,11.4,37.7,62.4,6,13.1,36.2,64500,45217,83385,75933,49682,36556,27038,38,19463807,58.1,4.6,56.8,52.5,39144818,49.7,72.5,50.8,38.8,60.9,5.8,14.2
"California","Kentucky",6,21,3003.77416992188,621,1,"California","Kentucky",38,40062,30223,21283,38.6,2044016,52.8,6.6,55.2,49.6,4346266,49.2,76.5,13.3,3,88.3,7.7,1.1,38.8,45215,30982,64621,46917,39219,32295,23160,38.8,2062779,54.6,3.8,54.2,50.9,4425092,49.1,72.8,51.4,3.3,87.4,8,1.3,35.2,57708,33624,25795,37.8,6,18625515,55.7,8.2,57.9,50.7,37349363,49.7,75.1,11.4,37.7,62.4,6,13.1,36.2,64500,45217,83385,75933,49682,36556,27038,38,19463807,58.1,4.6,56.8,52.5,39144818,49.7,72.5,50.8,38.8,60.9,5.8,14.2
"California","Tennessee",6,47,2948.72607421875,647,6,"California","Tennessee",38,41461,30560,21916,38.3,3081522,54.4,6.9,56.4,50.5,6356897,48.7,76.4,13.5,4.5,78.4,16.8,1.5,38.7,47275,34462,65072,50779,38383,32734,23982,38.9,3198285,56.8,3.8,56,52.5,6600299,48.7,73.3,51.9,5.1,77.7,16.8,1.6,35.2,57708,33624,25795,37.8,6,18625515,55.7,8.2,57.9,50.7,37349363,49.7,75.1,11.4,37.7,62.4,6,13.1,36.2,64500,45217,83385,75933,49682,36556,27038,38,19463807,58.1,4.6,56.8,52.5,39144818,49.7,72.5,50.8,38.8,60.9,5.8,14.2
"California","New York",6,36,3753.0263671875,636,22,"California","New York",38,54148,37063,28902,38.4,9888442,57.1,6.2,58.5,53.1,19392283,48.4,77.8,13.5,17.7,65.9,15.5,7.4,38.3,60850,42652,66482,70379,41657,40570,30878,38.5,10128222,59,4.1,58.6,55,19795791,48.6,74.6,52.1,18.8,63.8,15.6,8.4,35.2,57708,33624,25795,37.8,6,18625515,55.7,8.2,57.9,50.7,37349363,49.7,75.1,11.4,37.7,62.4,6,13.1,36.2,64500,45217,83385,75933,49682,36556,27038,38,19463807,58.1,4.6,56.8,52.5,39144818,49.7,72.5,50.8,38.8,60.9,5.8,14.2
"California","Georgia",6,13,3304.87622070312,613,17,"California","Georgia",35.4,46430,31655,23366,38.9,4765482,55.6,8,58.9,51.7,9712587,48.8,74.3,10.6,8.8,60.7,30.6,3.3,36.4,51244,37855,72924,60125,41252,35154,25277,39.1,4957832,57.6,4.4,57.8,53.6,10214860,48.7,71.1,52.1,9.3,59.5,31.3,3.8,35.2,57708,33624,25795,37.8,6,18625515,55.7,8.2,57.9,50.7,37349363,49.7,75.1,11.4,37.7,62.4,6,13.1,36.2,64500,45217,83385,75933,49682,36556,27038,38,19463807,58.1,4.6,56.8,52.5,39144818,49.7,72.5,50.8,38.8,60.9,5.8,14.2
"California","Hawaii",6,15,4022.67236328125,615,27,"California","Hawaii",38.7,63030,35492,27240,38.2,694445,58.4,5.1,61.2,56.8,1363621,50.2,77.7,14.5,8.9,24.6,1.5,38.9,37.7,73486,69448,76164,74197,60320,38276,30911,38.9,710239,58.6,3,59.2,56.2,1431603,50.6,74.8,49.5,10.4,26,2.1,37.1,35.2,57708,33624,25795,37.8,6,18625515,55.7,8.2,57.9,50.7,37349363,49.7,75.1,11.4,37.7,62.4,6,13.1,36.2,64500,45217,83385,75933,49682,36556,27038,38,19463807,58.1,4.6,56.8,52.5,39144818,49.7,72.5,50.8,38.8,60.9,5.8,14.2
