"state1_name","state2_name","state1_fips","state2_fips","distance_km","state_comb","n","mig_1yago","mig_current"
"Wisconsin","Wyoming",55,56,1417.79528808594,5556,3,"Wisconsin","Wyoming"
"Wisconsin","Mississippi",55,28,1322.41247558594,5528,NA,"Wisconsin","Mississippi"
"Wisconsin","Massachusetts",55,25,1493.04174804688,5525,NA,"Wisconsin","Massachusetts"
"Wisconsin","Connecticut",55,9,1437.50354003906,5509,NA,"Wisconsin","Connecticut"
"Wisconsin","Vermont",55,50,1376.51770019531,5550,NA,"Wisconsin","Vermont"
"Wisconsin","Maine",55,23,1630.7451171875,5523,NA,"Wisconsin","Maine"
"Wisconsin","New Hampshire",55,33,1469.57080078125,5533,1,"Wisconsin","New Hampshire"
"Wisconsin","New Mexico",55,35,1784.04028320312,5535,NA,"Wisconsin","New Mexico"
"Wisconsin","Ohio",55,39,761.595031738281,5539,6,"Wisconsin","Ohio"
"Wisconsin","Alabama",55,1,1345.61499023438,5501,NA,"Wisconsin","Alabama"
"Wisconsin","Nebraska",55,31,866.269348144531,5531,NA,"Wisconsin","Nebraska"
"Wisconsin","South Dakota",55,46,810.99365234375,5546,NA,"Wisconsin","South Dakota"
"Wisconsin","Nevada",55,32,2268.2421875,5532,NA,"Wisconsin","Nevada"
"Wisconsin","New Jersey",55,34,1349.59497070312,5534,NA,"Wisconsin","New Jersey"
"Wisconsin","North Dakota",55,38,866.449279785156,5538,NA,"Wisconsin","North Dakota"
"Wisconsin","South Carolina",55,45,1424.40966796875,5545,NA,"Wisconsin","South Carolina"
"Wisconsin","Arizona",55,4,2177.37255859375,5504,NA,"Wisconsin","Arizona"
"Wisconsin","Arkansas",55,5,1102.05810546875,5505,NA,"Wisconsin","Arkansas"
"Idaho","California",16,6,896.002258300781,1606,NA,"Idaho","California"
"Idaho","Wisconsin",16,55,1945.80603027344,1655,NA,"Idaho","Wisconsin"
"Idaho","Minnesota",16,27,1597.95593261719,1627,NA,"Idaho","Minnesota"
"Idaho","Iowa",16,19,1725.02404785156,1619,NA,"Idaho","Iowa"
"Idaho","Missouri",16,29,1958.14709472656,1629,NA,"Idaho","Missouri"
"Idaho","Maryland",16,24,3170.51049804688,1624,NA,"Idaho","Maryland"
"Idaho","Oregon",16,41,476.976287841797,1641,NA,"Idaho","Oregon"
"Idaho","Michigan",16,26,2311.93359375,1626,NA,"Idaho","Michigan"
"Idaho","Montana",16,30,489.584014892578,1630,2,"Idaho","Montana"
"Idaho","Utah",16,49,611.648864746094,1649,1,"Idaho","Utah"
"Idaho","Virginia",16,51,3076.49096679688,1651,NA,"Idaho","Virginia"
"Idaho","Illinois",16,17,2138.65380859375,1617,NA,"Idaho","Illinois"
"Idaho","Texas",16,48,1959.48229980469,1648,NA,"Idaho","Texas"
"Idaho","Louisiana",16,22,2472.52587890625,1622,NA,"Idaho","Louisiana"
"Idaho","Florida",16,12,3335.97680664062,1612,NA,"Idaho","Florida"
"Idaho","Kentucky",16,21,2560.32299804688,1621,NA,"Idaho","Kentucky"
"Idaho","Tennessee",16,47,2566.72705078125,1647,NA,"Idaho","Tennessee"
"Idaho","New York",16,36,3120.9873046875,1636,NA,"Idaho","New York"
"Idaho","Georgia",16,13,2985.6044921875,1613,NA,"Idaho","Georgia"
"Idaho","Hawaii",16,15,4674.7900390625,1615,NA,"Idaho","Hawaii"
"Idaho","Delaware",16,10,3270.49853515625,1610,NA,"Idaho","Delaware"
"Idaho","Washington",16,53,567.113464355469,1653,1,"Idaho","Washington"
"Idaho","Oklahoma",16,40,1748.65783691406,1640,NA,"Idaho","Oklahoma"
"Idaho","West Virginia",16,54,2879.21752929688,1654,NA,"Idaho","West Virginia"
"Idaho","Alaska",16,2,3195.0322265625,1602,NA,"Idaho","Alaska"
"Idaho","Pennsylvania",16,42,3011.39868164062,1642,NA,"Idaho","Pennsylvania"
"Idaho","Colorado",16,8,958.848388671875,1608,NA,"Idaho","Colorado"
"Idaho","North Carolina",16,37,3146.59375,1637,NA,"Idaho","North Carolina"
"Idaho","Indiana",16,18,2376.0048828125,1618,NA,"Idaho","Indiana"
"Idaho","Kansas",16,20,1498.63012695312,1620,NA,"Idaho","Kansas"
"Idaho","District of Columbia",16,11,3154.19946289062,1611,NA,"Idaho","District of Columbia"
"Idaho","Rhode Island",16,44,3475.30615234375,1644,NA,"Idaho","Rhode Island"
"Idaho","Wyoming",16,56,587.339660644531,1656,NA,"Idaho","Wyoming"
"Idaho","Mississippi",16,28,2509.90307617188,1628,NA,"Idaho","Mississippi"
"Idaho","Massachusetts",16,25,3436.76489257812,1625,NA,"Idaho","Massachusetts"
"Idaho","Connecticut",16,9,3383.287109375,1609,NA,"Idaho","Connecticut"
"Idaho","Vermont",16,50,3306.1962890625,1650,NA,"Idaho","Vermont"
"Idaho","Maine",16,23,3532.14990234375,1623,NA,"Idaho","Maine"
"Idaho","New Hampshire",16,33,3401.8203125,1633,NA,"Idaho","New Hampshire"
"Idaho","New Mexico",16,35,1323.623046875,1635,5,"Idaho","New Mexico"
"Idaho","Ohio",16,39,2637.35009765625,1639,NA,"Idaho","Ohio"
"Idaho","Alabama",16,1,2718.2138671875,1601,NA,"Idaho","Alabama"
"Idaho","Nebraska",16,31,1244.08544921875,1631,NA,"Idaho","Nebraska"
"Idaho","South Dakota",16,46,1141.44274902344,1646,NA,"Idaho","South Dakota"
"Idaho","Nevada",16,32,582.931823730469,1632,NA,"Idaho","Nevada"
"Idaho","New Jersey",16,34,3286.822265625,1634,3,"Idaho","New Jersey"
"Idaho","North Dakota",16,38,1145.71215820312,1638,6,"Idaho","North Dakota"
"Idaho","South Carolina",16,45,3105.05297851562,1645,NA,"Idaho","South Carolina"
"Idaho","Arizona",16,4,1148.72631835938,1604,NA,"Idaho","Arizona"
"Idaho","Arkansas",16,5,2160.60864257812,1605,NA,"Idaho","Arkansas"
"Minnesota","California",27,6,2307.51025390625,2706,NA,"Minnesota","California"
"Minnesota","Wisconsin",27,55,383.326019287109,2755,2,"Minnesota","Wisconsin"
"Minnesota","Idaho",27,16,1597.95593261719,2716,NA,"Minnesota","Idaho"
"Minnesota","Iowa",27,19,472.194213867188,2719,5,"Minnesota","Iowa"
"Minnesota","Missouri",27,29,894.09765625,2729,NA,"Minnesota","Missouri"
"Minnesota","Maryland",27,24,1641.80578613281,2724,NA,"Minnesota","Maryland"
"Minnesota","Oregon",27,41,2067.650390625,2741,NA,"Minnesota","Oregon"
"Minnesota","Michigan",27,26,729.796997070312,2726,1,"Minnesota","Michigan"
"Minnesota","Montana",27,30,1170.88305664062,2730,NA,"Minnesota","Montana"
"Minnesota","Utah",27,49,1610.57727050781,2749,NA,"Minnesota","Utah"
"Minnesota","Virginia",27,51,1606.50952148438,2751,NA,"Minnesota","Virginia"
"Minnesota","Illinois",27,17,807.8642578125,2717,NA,"Minnesota","Illinois"
"Minnesota","Texas",27,48,1705.10717773438,2748,1,"Minnesota","Texas"
"Minnesota","Louisiana",27,22,1710.09765625,2722,3,"Minnesota","Louisiana"
"Minnesota","Florida",27,12,2223.38598632812,2712,NA,"Minnesota","Florida"
"Minnesota","Kentucky",27,21,1223.52722167969,2721,NA,"Minnesota","Kentucky"
"Minnesota","Tennessee",27,47,1335.61010742188,2747,1,"Minnesota","Tennessee"
"Minnesota","New York",27,36,1530.13317871094,2736,NA,"Minnesota","New York"
"Minnesota","Georgia",27,13,1777.47973632812,2713,NA,"Minnesota","Georgia"
"Minnesota","Hawaii",27,15,6265.0771484375,2715,8,"Minnesota","Hawaii"
"Minnesota","Delaware",27,10,1732.16137695312,2710,NA,"Minnesota","Delaware"
"Minnesota","Washington",27,53,1986.92810058594,2753,NA,"Minnesota","Washington"
"Minnesota","Oklahoma",27,40,1218.58984375,2740,NA,"Minnesota","Oklahoma"
"Minnesota","West Virginia",27,54,1404.23266601562,2754,NA,"Minnesota","West Virginia"
"Minnesota","Alaska",27,2,3992.21606445312,2702,NA,"Minnesota","Alaska"
"Minnesota","Pennsylvania",27,42,1455.17907714844,2742,NA,"Minnesota","Pennsylvania"
"Minnesota","Colorado",27,8,1223.51403808594,2708,6,"Minnesota","Colorado"
"Minnesota","North Carolina",27,37,1737.39587402344,2737,NA,"Minnesota","North Carolina"
"Minnesota","Indiana",27,18,962.842712402344,2718,NA,"Minnesota","Indiana"
"Minnesota","Kansas",27,20,928.096252441406,2720,NA,"Minnesota","Kansas"
