"State.x","acs_median_age","acs_median_hh_inc","acs_median_hh_inc_black","acs_median_hh_inc_asian","acs_median_hh_inc_white","acs_median_hh_inc_hisp","acs_median_inc_m","acs_median_inc_f","acs_mean_wkhr","statefip","State.y","acs_tot_civilian_labor","acs_pct_employed","acs_pct_unemploy","acs_female_labor","acs_female_employed","acs_tot_pop_wt","acs_pct_male","acs_pct_age_0_17","acs_pct_age_above65","acs_pct_hispanic","acs_pct_white","acs_pct_black","acs_pct_asian"
"Alabama",38.6,42830,28622,54577,50076,31664,32399,21811,38.8,1,"Alabama",2220715,52.5,4.9,52.3,47.8,4849377,48.4,72.8,52.4,4,68.5,26.6,1.2
"Alaska",33.3,71583,47226,62348,80656,54996,43513,30993,42.2,2,"Alaska",381695,61.9,5.1,63.8,59.2,736732,52.3,70.2,47.1,6.7,65.6,3.4,6
"Arizona",36.9,50068,40064,63943,55321,39180,32283,25423,38.5,4,"Arizona",3113634,54.2,4.7,53.8,49.6,6731484,49.7,71.6,50.8,30.5,78.3,4.2,3.2
"Arkansas",37.8,41262,27657,62291,45456,35348,31314,21673,39.3,5,"Arkansas",1361069,54.2,3.9,52.7,49.3,2966369,49.1,71.9,51.5,6.9,78.3,15.8,1.2
"California",36,61933,42509,80080,73017,47434,35902,26387,37.9,6,"California",19276719,57.4,5.3,56.8,52,38802500,49.6,72.1,50.8,38.6,61.4,5.8,13.9
"Colorado",36.3,61303,41763,60000,67360,44174,38318,27667,39,8,"Colorado",2854920,63.7,3.7,62.3,59,5355866,50.3,72.7,50.1,21.2,84.4,4,2.9
"Delaware",39.6,59716,45264,85172,65361,50525,37458,29938,38.2,10,"Delaware",472991,58.5,4.2,59.7,55.7,935614,48.5,73.8,52.2,8.9,69.2,21.7,3.9
"District of Columbia",33.8,71648,40739,84466,117134,63065,50409,42061,40,11,"District of Columbia",379186,62.3,6.1,66.7,61.3,658893,47.4,77.4,53.2,10.4,40.2,48.8,3.8
"Connecticut",40.5,70048,45002,88529,78959,39148,45271,31711,38.1,9,"Connecticut",1952827,61.6,5.3,62.4,57.7,3596677,48.8,74.1,51.9,15,76.8,10.3,4.2
"Florida",41.6,47463,34563,57814,52321,40903,30994,24715,38.4,12,"Florida",9503651,53.6,4.7,54,49.6,19893297,48.9,75.8,51.7,24.1,76,16.2,2.6
"Georgia",36.1,49321,36521,67044,57555,39492,33187,25241,38.9,13,"Georgia",4869705,56.7,5.1,57.4,52.5,10097343,48.7,70.8,52,9.1,59.9,31.3,3.7
"Idaho",35.9,47861,30189,53695,49536,39070,31341,20263,38.2,16,"Idaho",769337,58.1,3.4,55.7,52.9,1634464,50,69.2,50.5,12,91.7,0.7,1.5
"Hawaii",38.1,69592,66343,74723,70259,58683,37684,30297,38.8,15,"Hawaii",702065,58.1,3.3,58.7,56,1419561,50.5,74.5,49.7,10.1,25.4,2.2,37.6
"Illinois",37.5,57444,33369,75908,64349,47466,39221,26713,38.3,17,"Illinois",6681866,60,5.3,60.2,55.5,12880580,49.1,72.7,51.5,16.7,72.1,14.3,5.2
"Indiana",37.4,49446,30112,56238,52105,41125,35404,22976,38.3,18,"Indiana",3321845,59.5,4.5,59.2,55.1,6596855,49.2,71.5,51.5,6.4,84.1,9.3,2
"Iowa",38.2,53712,28883,61271,55243,42447,37346,24824,38.6,19,"Iowa",1667252,64.7,3,63.5,60.9,3107126,49.7,72.2,50.8,5.5,91.3,3.1,2.2
"Kansas",36.2,52504,32057,63220,56010,39869,36080,24195,39.2,20,"Kansas",1474596,61.9,3.4,60.5,57.5,2904021,49.8,70.7,50.7,11.3,84.9,5.9,2.6
"Kentucky",38.5,42958,26735,60493,45179,33991,31395,22420,38.6,21,"Kentucky",2067812,54.4,4.5,54.5,50.4,4413457,49.3,72.9,51.4,3.3,87.4,7.9,1.2
"Louisiana",36.1,44555,27655,63293,54940,44938,37857,22345,40.2,22,"Louisiana",2180626,55.2,4.4,55.4,51.3,4649676,48.9,71.8,51.8,4.8,62.8,32.3,1.7
