"state1_name","state2_name","state1_fips","state2_fips","distance_km"
"Idaho","New Hampshire","16","33",3401.82021947592
"Idaho","New Mexico","16","35",1323.62306041575
"Idaho","Ohio","16","39",2637.35020574578
"Idaho","Alabama","16","01",2718.21389542204
"Idaho","Nebraska","16","31",1244.08548423972
"Idaho","South Dakota","16","46",1141.4427469508
"Idaho","Nevada","16","32",582.931796656633
"Idaho","New Jersey","16","34",3286.82222630159
"Idaho","North Dakota","16","38",1145.71218252455
"Idaho","South Carolina","16","45",3105.05307012112
"Idaho","Arizona","16","04",1148.72631199307
"Idaho","Arkansas","16","05",2160.60866139816
"Minnesota","California","27","06",2307.51016336771
"Minnesota","Wisconsin","27","55",383.326033189225
"Minnesota","Idaho","27","16",1597.95593790132
"Minnesota","Iowa","27","19",472.194209435477
"Minnesota","Missouri","27","29",894.097655660803
"Minnesota","Maryland","27","24",1641.80577851894
"Minnesota","Oregon","27","41",2067.65042389021
"Minnesota","Michigan","27","26",729.797027438782
"Minnesota","Montana","27","30",1170.88306580107
"Minnesota","Utah","27","49",1610.5772268991
"Minnesota","Virginia","27","51",1606.50949125836
"Minnesota","Illinois","27","17",807.864261776084
"Minnesota","Texas","27","48",1705.10723080016
"Minnesota","Louisiana","27","22",1710.09765968744
"Minnesota","Florida","27","12",2223.38601073777
"Minnesota","Kentucky","27","21",1223.52716618367
"Minnesota","Tennessee","27","47",1335.61014284144
"Minnesota","New York","27","36",1530.13317197337
"Minnesota","Georgia","27","13",1777.47977047339
"Minnesota","Hawaii","27","15",6265.07703798533
"Minnesota","Delaware","27","10",1732.16132771568
"Minnesota","Washington","27","53",1986.92814472386
"Minnesota","Oklahoma","27","40",1218.58978394056
"Minnesota","West Virginia","27","54",1404.23266141844
"Minnesota","Alaska","27","02",3992.2160523301
"Minnesota","Pennsylvania","27","42",1455.17911000389
"Minnesota","Colorado","27","08",1223.51406718969
"Minnesota","North Carolina","27","37",1737.39581564448
"Minnesota","Indiana","27","18",962.84272358034
"Minnesota","Kansas","27","20",928.096232033875
"Minnesota","District of Columbia","27","11",1630.52687241722
"Minnesota","Rhode Island","27","44",1885.85922743288
"Minnesota","Wyoming","27","56",1108.47433349792
"Minnesota","Mississippi","27","28",1557.23695136363
"Minnesota","Massachusetts","27","25",1844.14378196205
"Minnesota","Connecticut","27","09",1796.83643983144
"Minnesota","Vermont","27","50",1708.32262468641
"Minnesota","Maine","27","23",1938.53926269282
"Minnesota","New Hampshire","27","33",1804.10647321117
"Minnesota","New Mexico","27","35",1653.02089034273
"Minnesota","Ohio","27","39",1143.26794476274
"Minnesota","Alabama","27","01",1631.02022038404
"Minnesota","Nebraska","27","31",686.557989368256
"Minnesota","South Dakota","27","46",505.798384555737
"Minnesota","Nevada","27","32",1970.22295479161
"Minnesota","New Jersey","27","34",1723.85906585879
"Minnesota","North Dakota","27","38",486.032315791264
"Minnesota","South Carolina","27","45",1782.504825032
"Minnesota","Arizona","27","04",1979.6209058286
"Minnesota","Arkansas","27","05",1275.9361758632
"Iowa","California","19","06",2280.83358379348
"Iowa","Wisconsin","19","55",400.744973251869
"Iowa","Idaho","19","16",1725.02407750585
"Iowa","Minnesota","19","27",472.194209435477
"Iowa","Missouri","19","29",422.684277363073
"Iowa","Maryland","19","24",1452.74747944625
"Iowa","Oregon","19","41",2200.81992570407
"Iowa","Michigan","19","26",703.80616219267
"Iowa","Montana","19","30",1389.67032380505
"Iowa","Utah","19","49",1559.87723444052
"Iowa","Virginia","19","51",1351.74805350974
"Iowa","Illinois","19","17",425.518678717033
"Iowa","Texas","19","48",1289.8213081044
"Iowa","Louisiana","19","22",1237.92284032684
"Iowa","Florida","19","12",1800.64106288605
"Iowa","Kentucky","19","21",862.469946465931
"Iowa","Tennessee","19","47",926.491417742564
"Iowa","New York","19","36",1475.21193823868
"Iowa","Georgia","19","13",1373.57983791756
"Iowa","Hawaii","19","15",6298.91515232063
"Iowa","Delaware","19","10",1555.54677905933
"Iowa","Washington","19","53",2200.96627877872
"Iowa","Oklahoma","19","40",799.87161893316
"Iowa","West Virginia","19","54",1154.22743018952
"Iowa","Alaska","19","02",4400.64465319888
"Iowa","Pennsylvania","19","42",1312.47765126852
"Iowa","Colorado","19","08",1073.39947357369
"Iowa","North Carolina","19","37",1433.91941412649
"Iowa","Indiana","19","18",652.054937581042
"Iowa","Kansas","19","20",574.369663568987
"Iowa","District of Columbia","19","11",1434.90780213451
"Iowa","Rhode Island","19","44",1814.20775080086
"Iowa","Wyoming","19","56",1154.87782796584
"Iowa","Mississippi","19","28",1091.90607668094
"Iowa","Massachusetts","19","25",1787.21699160953
"Iowa","Connecticut","19","09",1716.69294292645
"Iowa","Vermont","19","50",1701.71301539803
"Iowa","Maine","19","23",1976.34094247019
"Iowa","New Hampshire","19","33",1789.39178077479
"Iowa","New Mexico","19","35",1390.77895071766
"Iowa","Ohio","19","39",916.425876716408
"Iowa","Alabama","19","01",1188.8644043175
"Iowa","Nebraska","19","31",525.422806790122
"Iowa","South Dakota","19","46",605.200386922011
"Iowa","Nevada","19","32",1967.90806367953
"Iowa","New Jersey","19","34",1588.02158939099
"Iowa","North Dakota","19","38",811.784856153342
"Iowa","South Carolina","19","45",1427.49285822999
"Iowa","Arizona","19","04",1804.05223027888
"Iowa","Arkansas","19","05",803.762946909848
"Missouri","California","29","06",2369.66655672851
"Missouri","Wisconsin","29","55",726.579964344986
"Missouri","Idaho","29","16",1958.14705380326
