state1_name,state2_name,state1_fips,state2_fips,distance_km,state_comb,migration_n,mig_1yago,mig_current
Wisconsin,Alabama,55,1,1345.61499,5501,NA,Wisconsin,Alabama
Wisconsin,Nebraska,55,31,866.2693481,5531,NA,Wisconsin,Nebraska
Wisconsin,South Dakota,55,46,810.9936523,5546,NA,Wisconsin,South Dakota
Wisconsin,Nevada,55,32,2268.242188,5532,NA,Wisconsin,Nevada
Wisconsin,New Jersey,55,34,1349.594971,5534,NA,Wisconsin,New Jersey
Wisconsin,North Dakota,55,38,866.4492798,5538,NA,Wisconsin,North Dakota
Wisconsin,South Carolina,55,45,1424.409668,5545,NA,Wisconsin,South Carolina
Wisconsin,Arizona,55,4,2177.372559,5504,NA,Wisconsin,Arizona
Wisconsin,Arkansas,55,5,1102.058105,5505,NA,Wisconsin,Arkansas
Idaho,California,16,6,896.0022583,1606,NA,Idaho,California
Idaho,Wisconsin,16,55,1945.80603,1655,NA,Idaho,Wisconsin
Idaho,Minnesota,16,27,1597.955933,1627,NA,Idaho,Minnesota
Idaho,Iowa,16,19,1725.024048,1619,NA,Idaho,Iowa
Idaho,Missouri,16,29,1958.147095,1629,NA,Idaho,Missouri
Idaho,Maryland,16,24,3170.510498,1624,NA,Idaho,Maryland
Idaho,Oregon,16,41,476.9762878,1641,NA,Idaho,Oregon
Idaho,Michigan,16,26,2311.933594,1626,NA,Idaho,Michigan
Idaho,Montana,16,30,489.5840149,1630,2,Idaho,Montana
Idaho,Utah,16,49,611.6488647,1649,1,Idaho,Utah
Idaho,Virginia,16,51,3076.490967,1651,NA,Idaho,Virginia
Idaho,Illinois,16,17,2138.653809,1617,NA,Idaho,Illinois
Idaho,Texas,16,48,1959.4823,1648,NA,Idaho,Texas
Idaho,Louisiana,16,22,2472.525879,1622,NA,Idaho,Louisiana
Idaho,Florida,16,12,3335.976807,1612,NA,Idaho,Florida
Idaho,Kentucky,16,21,2560.322998,1621,NA,Idaho,Kentucky
Idaho,Tennessee,16,47,2566.727051,1647,NA,Idaho,Tennessee
Idaho,New York,16,36,3120.987305,1636,NA,Idaho,New York
Idaho,Georgia,16,13,2985.604492,1613,NA,Idaho,Georgia
Idaho,Hawaii,16,15,4674.790039,1615,NA,Idaho,Hawaii
Idaho,Delaware,16,10,3270.498535,1610,NA,Idaho,Delaware
Idaho,Washington,16,53,567.1134644,1653,1,Idaho,Washington
Idaho,Oklahoma,16,40,1748.657837,1640,NA,Idaho,Oklahoma
Idaho,West Virginia,16,54,2879.217529,1654,NA,Idaho,West Virginia
Idaho,Alaska,16,2,3195.032227,1602,NA,Idaho,Alaska
Idaho,Pennsylvania,16,42,3011.398682,1642,NA,Idaho,Pennsylvania
Idaho,Colorado,16,8,958.8483887,1608,NA,Idaho,Colorado
Idaho,North Carolina,16,37,3146.59375,1637,NA,Idaho,North Carolina
Idaho,Indiana,16,18,2376.004883,1618,NA,Idaho,Indiana
Idaho,Kansas,16,20,1498.630127,1620,NA,Idaho,Kansas
Idaho,District of Columbia,16,11,3154.199463,1611,NA,Idaho,District of Columbia
Idaho,Rhode Island,16,44,3475.306152,1644,NA,Idaho,Rhode Island
Idaho,Wyoming,16,56,587.3396606,1656,NA,Idaho,Wyoming
Idaho,Mississippi,16,28,2509.903076,1628,NA,Idaho,Mississippi
Idaho,Massachusetts,16,25,3436.764893,1625,NA,Idaho,Massachusetts
Idaho,Connecticut,16,9,3383.287109,1609,NA,Idaho,Connecticut
Idaho,Vermont,16,50,3306.196289,1650,NA,Idaho,Vermont
Idaho,Maine,16,23,3532.149902,1623,NA,Idaho,Maine
Idaho,New Hampshire,16,33,3401.820313,1633,NA,Idaho,New Hampshire
Idaho,New Mexico,16,35,1323.623047,1635,5,Idaho,New Mexico
Idaho,Ohio,16,39,2637.350098,1639,NA,Idaho,Ohio
Idaho,Alabama,16,1,2718.213867,1601,NA,Idaho,Alabama
Idaho,Nebraska,16,31,1244.085449,1631,NA,Idaho,Nebraska
Idaho,South Dakota,16,46,1141.442749,1646,NA,Idaho,South Dakota
Idaho,Nevada,16,32,582.9318237,1632,NA,Idaho,Nevada
Idaho,New Jersey,16,34,3286.822266,1634,3,Idaho,New Jersey
Idaho,North Dakota,16,38,1145.712158,1638,6,Idaho,North Dakota
Idaho,South Carolina,16,45,3105.052979,1645,NA,Idaho,South Carolina
Idaho,Arizona,16,4,1148.726318,1604,NA,Idaho,Arizona
Idaho,Arkansas,16,5,2160.608643,1605,NA,Idaho,Arkansas
Minnesota,California,27,6,2307.510254,2706,NA,Minnesota,California
Minnesota,Wisconsin,27,55,383.3260193,2755,2,Minnesota,Wisconsin
Minnesota,Idaho,27,16,1597.955933,2716,NA,Minnesota,Idaho
Minnesota,Iowa,27,19,472.1942139,2719,5,Minnesota,Iowa
Minnesota,Missouri,27,29,894.0976563,2729,NA,Minnesota,Missouri
Minnesota,Maryland,27,24,1641.805786,2724,NA,Minnesota,Maryland
Minnesota,Oregon,27,41,2067.650391,2741,NA,Minnesota,Oregon
Minnesota,Michigan,27,26,729.7969971,2726,1,Minnesota,Michigan
Minnesota,Montana,27,30,1170.883057,2730,NA,Minnesota,Montana
Minnesota,Utah,27,49,1610.577271,2749,NA,Minnesota,Utah
Minnesota,Virginia,27,51,1606.509521,2751,NA,Minnesota,Virginia
Minnesota,Illinois,27,17,807.8642578,2717,NA,Minnesota,Illinois
Minnesota,Texas,27,48,1705.107178,2748,1,Minnesota,Texas
Minnesota,Louisiana,27,22,1710.097656,2722,3,Minnesota,Louisiana
Minnesota,Florida,27,12,2223.385986,2712,NA,Minnesota,Florida
Minnesota,Kentucky,27,21,1223.527222,2721,NA,Minnesota,Kentucky
Minnesota,Tennessee,27,47,1335.610107,2747,1,Minnesota,Tennessee
Minnesota,New York,27,36,1530.133179,2736,NA,Minnesota,New York
Minnesota,Georgia,27,13,1777.479736,2713,NA,Minnesota,Georgia
Minnesota,Hawaii,27,15,6265.077148,2715,8,Minnesota,Hawaii
Minnesota,Delaware,27,10,1732.161377,2710,NA,Minnesota,Delaware
Minnesota,Washington,27,53,1986.928101,2753,NA,Minnesota,Washington
Minnesota,Oklahoma,27,40,1218.589844,2740,NA,Minnesota,Oklahoma
Minnesota,West Virginia,27,54,1404.232666,2754,NA,Minnesota,West Virginia
Minnesota,Alaska,27,2,3992.216064,2702,NA,Minnesota,Alaska
Minnesota,Pennsylvania,27,42,1455.179077,2742,NA,Minnesota,Pennsylvania
Minnesota,Colorado,27,8,1223.514038,2708,6,Minnesota,Colorado
Minnesota,North Carolina,27,37,1737.395874,2737,NA,Minnesota,North Carolina
Minnesota,Indiana,27,18,962.8427124,2718,NA,Minnesota,Indiana
Minnesota,Kansas,27,20,928.0962524,2720,NA,Minnesota,Kansas
Minnesota,District of Columbia,27,11,1630.526855,2711,NA,Minnesota,District of Columbia
Minnesota,Rhode Island,27,44,1885.859253,2744,NA,Minnesota,Rhode Island
Minnesota,Wyoming,27,56,1108.474365,2756,1,Minnesota,Wyoming
Minnesota,Mississippi,27,28,1557.236938,2728,NA,Minnesota,Mississippi
Minnesota,Massachusetts,27,25,1844.143799,2725,NA,Minnesota,Massachusetts
Minnesota,Connecticut,27,9,1796.836426,2709,NA,Minnesota,Connecticut
Minnesota,Vermont,27,50,1708.322632,2750,2,Minnesota,Vermont
Minnesota,Maine,27,23,1938.539307,2723,NA,Minnesota,Maine
Minnesota,New Hampshire,27,33,1804.106445,2733,NA,Minnesota,New Hampshire
Minnesota,New Mexico,27,35,1653.020874,2735,NA,Minnesota,New Mexico
Minnesota,Ohio,27,39,1143.267944,2739,NA,Minnesota,Ohio
Minnesota,Alabama,27,1,1631.020264,2701,NA,Minnesota,Alabama
Minnesota,Nebraska,27,31,686.5579834,2731,NA,Minnesota,Nebraska
Minnesota,South Dakota,27,46,505.7983704,2746,3,Minnesota,South Dakota
Minnesota,Nevada,27,32,1970.2229,2732,NA,Minnesota,Nevada
Minnesota,New Jersey,27,34,1723.859009,2734,NA,Minnesota,New Jersey
Minnesota,North Dakota,27,38,486.0323181,2738,19,Minnesota,North Dakota
Minnesota,South Carolina,27,45,1782.504883,2745,NA,Minnesota,South Carolina
Minnesota,Arizona,27,4,1979.62085,2704,NA,Minnesota,Arizona
Minnesota,Arkansas,27,5,1275.936157,2705,3,Minnesota,Arkansas
Iowa,California,19,6,2280.833496,1906,5,Iowa,California
Iowa,Wisconsin,19,55,400.7449646,1955,8,Iowa,Wisconsin
Iowa,Idaho,19,16,1725.024048,1916,4,Iowa,Idaho
Iowa,Minnesota,19,27,472.1942139,1927,NA,Iowa,Minnesota
Iowa,Missouri,19,29,422.6842651,1929,1,Iowa,Missouri
Iowa,Maryland,19,24,1452.747437,1924,NA,Iowa,Maryland
Iowa,Oregon,19,41,2200.819824,1941,NA,Iowa,Oregon
Iowa,Michigan,19,26,703.8061523,1926,NA,Iowa,Michigan
Iowa,Montana,19,30,1389.670288,1930,NA,Iowa,Montana
Iowa,Utah,19,49,1559.877197,1949,NA,Iowa,Utah
Iowa,Virginia,19,51,1351.748047,1951,NA,Iowa,Virginia
Iowa,Illinois,19,17,425.5186768,1917,NA,Iowa,Illinois
Iowa,Texas,19,48,1289.821289,1948,2,Iowa,Texas
Iowa,Louisiana,19,22,1237.922852,1922,NA,Iowa,Louisiana
Iowa,Florida,19,12,1800.641113,1912,NA,Iowa,Florida
Iowa,Kentucky,19,21,862.4699707,1921,NA,Iowa,Kentucky
Iowa,Tennessee,19,47,926.491394,1947,NA,Iowa,Tennessee
Iowa,New York,19,36,1475.211914,1936,NA,Iowa,New York
Iowa,Georgia,19,13,1373.579834,1913,NA,Iowa,Georgia
Iowa,Hawaii,19,15,6298.915039,1915,3,Iowa,Hawaii
Iowa,Delaware,19,10,1555.546753,1910,NA,Iowa,Delaware
Iowa,Washington,19,53,2200.966309,1953,NA,Iowa,Washington
Iowa,Oklahoma,19,40,799.8716431,1940,NA,Iowa,Oklahoma
