state.x,in_median_age10,in_median_hh_inc10,in_median_inc_m10,in_median_inc_f10,in_mean_wkhr10,statefip,state.y,in_tot_civilian_labor10,in_pct_employed10,in_pct_unemploy10,in_female_labor10,in_female_employed10,in_tot_pop_wt10,in_pct_male10,in_pct_age_0_17_10,in_pct_age_above65_10,in_pct_hispanic10,in_pct_white10,in_pct_black10,in_pct_asian10
Pennsylvania,40.2,49288,35418,23363,38,42,Pennsylvania,6463490,56.9,6,58.1,53.1,12709630,48.7,78.1,15.5,5.7,82.6,10.8,2.8
Rhode Island,39.6,52254,35216,26582,36.9,44,Rhode Island,551014,57.2,7,61.1,55.3,1052886,48.3,78.7,14.5,12.5,81.4,6,2.9
South Carolina,37.8,42018,30589,21509,38.3,45,South Carolina,2241088,53.2,7.8,57.3,50.3,4636312,48.6,76.7,13.7,5,67.1,28.1,1.2
South Dakota,37.3,45904,30292,21601,39.1,46,South Dakota,435452,64.2,4.1,64.5,61.1,816463,50.4,75.2,14.4,2.5,86,1.3,1
Tennessee,38,41461,30560,21916,38.3,47,Tennessee,3081522,54.4,6.9,56.4,50.5,6356897,48.7,76.4,13.5,4.5,78.4,16.8,1.5
Texas,33.6,48615,31550,22266,39.6,48,Texas,12363612,58.9,5.7,58.5,53.4,25257114,49.6,72.7,10.4,37.7,74.1,11.8,3.8
Utah,29.2,54744,34024,18955,36.6,49,Utah,1355406,61.8,6.4,60.1,54.6,2776469,50.3,68.5,9,13,88.8,1,1.9
Vermont,41.5,49406,31226,22816,37.2,50,Vermont,350829,62.8,5.5,64.9,60.1,625960,49.2,79.3,14.6,1.5,95.4,1,1.2
Virginia,37.5,60674,40326,27072,39.1,51,Virginia,4141905,59.7,5.1,61.3,56.8,8024617,49.1,76.9,12.2,7.9,69.5,19.6,5.5
Washington,37.2,55631,38008,25385,37.8,53,Washington,3440495,57.5,6.9,59.6,53.8,6744496,49.8,76.5,12.3,11.3,78.7,3.5,7.2
West Virginia,41.2,38218,31598,20583,38.9,54,West Virginia,820067,49.3,4.8,49.5,45.9,1853973,49.3,79.1,16.1,1.2,93.9,3.1,0.6
Wisconsin,38.5,49001,33248,23393,37.8,55,Wisconsin,3080461,62.2,6.1,64.7,59.8,5691047,49.7,76.5,13.7,5.9,87,6.2,2.3
Wyoming,36.7,53512,37153,22650,40,56,Wyoming,299393,63.4,4.2,62.1,58.3,564460,50.9,75.8,12.4,9,91,0.8,0.7
Puerto Rico,37.2,18862,16284,16290,35.9,72,Puerto Rico,1386058,38.2,8.9,41.4,33.5,3722133,48,75.9,14.7,98.9,67.8,7.6,0.4
